YEAR,continet,nums,nums_valid
1877,Asia,3,0
1877,Europe,415,333
1877,North America,156,46
1877,Oceania,383,182
1877,South America,29,0
1877,NA,0,0
1878,Africa,52,28
1878,Asia,3,0
1878,Europe,436,348
1878,North America,166,47
1878,Oceania,463,219
1878,South America,29,0
1878,NA,0,0
1879,Africa,65,32
1879,Asia,3,0
1879,Europe,519,409
1879,North America,178,49
1879,Oceania,526,265
1879,South America,29,0
1879,NA,0,0
1880,Africa,78,35
1880,Asia,3,0
1880,Europe,565,446
1880,North America,189,51
1880,Oceania,588,301
1880,South America,29,0
1880,NA,0,0
1881,Africa,85,40
1881,Asia,28,18
1881,Europe,647,503
1881,North America,199,54
1881,Oceania,692,361
1881,South America,29,0
1881,NA,0,0
1882,Africa,93,42
1882,Asia,37,22
1882,Europe,691,546
1882,North America,222,59
1882,Oceania,825,436
1882,South America,29,0
1882,NA,0,0
1883,Africa,100,44
1883,Asia,37,22
1883,Europe,702,556
1883,North America,268,71
1883,Oceania,927,486
1883,South America,29,0
1883,NA,0,0
1884,Africa,114,50
1884,Asia,40,24
1884,Europe,800,636
1884,North America,292,80
1884,Oceania,1126,598
1884,South America,29,0
1884,NA,0,0
1885,Africa,133,66
1885,Asia,44,27
1885,Europe,819,652
1885,North America,333,90
1885,Oceania,1293,681
1885,South America,29,0
1885,NA,0,0
1886,Africa,143,69
1886,Asia,47,29
1886,Europe,843,666
1886,North America,354,96
1886,Oceania,1453,766
1886,South America,29,0
1886,NA,0,0
1887,Africa,149,72
1887,Asia,50,29
1887,Europe,983,784
1887,North America,383,103
1887,Oceania,1731,923
1887,South America,29,0
1887,NA,0,0
1888,Africa,162,77
1888,Asia,52,31
1888,Europe,1083,866
1888,North America,418,113
1888,Oceania,1928,991
1888,South America,29,0
1888,NA,0,0
1889,Africa,168,83
1889,Asia,54,32
1889,Europe,1116,893
1889,North America,455,128
1889,Oceania,2133,1083
1889,South America,29,0
1889,NA,0,0
1890,Africa,177,90
1890,Asia,58,34
1890,Europe,1347,1075
1890,North America,502,151
1890,Oceania,2298,1148
1890,South America,29,0
1890,NA,0,0
1891,Africa,185,95
1891,Asia,60,35
1891,Europe,1515,1219
1891,North America,613,195
1891,Oceania,2458,1209
1891,South America,30,1
1891,NA,0,0
1892,Africa,196,100
1892,Asia,64,37
1892,Europe,1590,1278
1892,North America,848,282
1892,Oceania,2580,1255
1892,South America,30,1
1892,NA,0,0
1893,Africa,205,106
1893,Asia,66,39
1893,Europe,1672,1335
1893,North America,2071,743
1893,Oceania,2681,1294
1893,South America,30,1
1893,NA,0,0
1894,Africa,206,107
1894,Asia,71,39
1894,Europe,1762,1413
1894,North America,2360,830
1894,Oceania,2780,1329
1894,South America,30,1
1894,NA,0,0
1895,Africa,207,108
1895,Asia,76,39
1895,Europe,1965,1574
1895,North America,2617,905
1895,Oceania,2912,1387
1895,South America,30,1
1895,NA,0,0
1896,Africa,209,109
1896,Asia,79,42
1896,Europe,1999,1601
1896,North America,2829,963
1896,Oceania,3032,1444
1896,South America,30,1
1896,NA,0,0
1897,Africa,212,110
1897,Asia,82,44
1897,Europe,2101,1684
1897,North America,3024,1018
1897,Oceania,3187,1499
1897,South America,30,1
1897,NA,0,0
1898,Africa,227,118
1898,Asia,90,48
1898,Europe,2178,1734
1898,North America,3163,1061
1898,Oceania,3426,1598
1898,South America,30,1
1898,NA,0,0
1899,Africa,239,128
1899,Asia,92,50
1899,Europe,2660,2143
1899,North America,3390,1110
1899,Oceania,3635,1696
1899,South America,30,1
1899,NA,0,0
1900,Africa,218,138
1900,Asia,65,35
1900,Europe,2343,1986
1900,North America,2852,1178
1900,Oceania,3367,1669
1900,South America,30,30
1900,NA,0,0
1901,Africa,226,142
1901,Asia,1720,1448
1901,Europe,2501,2132
1901,North America,3020,1253
1901,Oceania,3586,1749
1901,South America,31,31
1901,NA,0,0
1902,Africa,229,144
1902,Asia,1768,1488
1902,Europe,2561,2183
1902,North America,3178,1326
1902,Oceania,3755,1822
1902,South America,31,31
1902,NA,0,0
1903,Africa,256,160
1903,Asia,1788,1505
1903,Europe,2585,2200
1903,North America,3360,1408
1903,Oceania,3931,1881
1903,South America,32,31
1903,NA,0,0
1904,Africa,294,189
1904,Asia,1804,1515
1904,Europe,2634,2231
1904,North America,3553,1482
1904,Oceania,4047,1925
1904,South America,52,50
1904,NA,0,0
1905,Africa,335,211
1905,Asia,1846,1549
1905,Europe,2667,2258
1905,North America,3776,1556
1905,Oceania,4270,1995
1905,South America,64,61
1905,NA,0,0
1906,Africa,369,239
1906,Asia,1931,1626
1906,Europe,2702,2287
1906,North America,3964,1619
1906,Oceania,4401,2049
1906,South America,74,68
1906,NA,0,0
1907,Africa,399,263
1907,Asia,1955,1640
1907,Europe,2709,2292
1907,North America,4070,1669
1907,Oceania,4639,2143
1907,South America,75,68
1907,NA,0,0
1908,Africa,411,272
1908,Asia,1968,1648
1908,Europe,2731,2305
1908,North America,4238,1754
1908,Oceania,4750,2199
1908,South America,75,68
1908,NA,0,0
1909,Africa,427,283
1909,Asia,1982,1655
1909,Europe,2742,2315
1909,North America,4578,1851
1909,Oceania,4883,2256
1909,South America,76,69
1909,NA,0,0
1910,Africa,445,297
1910,Asia,2009,1667
1910,Europe,2791,2348
1910,North America,4751,1930
1910,Oceania,5028,2327
1910,South America,136,96
1910,NA,0,0
1911,Africa,482,326
1911,Asia,2049,1692
1911,Europe,2818,2371
1911,North America,4931,2015
1911,Oceania,5174,2398
1911,South America,219,149
1911,NA,0,0
1912,Africa,510,348
1912,Asia,2066,1702
1912,Europe,2859,2406
1912,North America,5072,2071
1912,Oceania,5401,2508
1912,South America,312,199
1912,NA,0,0
1913,Africa,562,395
1913,Asia,2081,1711
1913,Europe,2851,2408
1913,North America,5213,2144
1913,Oceania,5621,2605
1913,South America,349,220
1913,NA,0,0
1914,Africa,609,438
1914,Asia,2125,1737
1914,Europe,2833,2417
1914,North America,5360,2229
1914,Oceania,5759,2672
1914,South America,363,225
1914,NA,0,0
1915,Africa,631,459
1915,Asia,2151,1747
1915,Europe,2836,2420
1915,North America,5528,2306
1915,Oceania,5913,2763
1915,South America,373,233
1915,NA,0,0
1916,Africa,663,486
1916,Asia,2180,1774
1916,Europe,2845,2431
1916,North America,5658,2375
1916,Oceania,6001,2810
1916,South America,381,235
1916,NA,0,0
1917,Africa,677,496
1917,Asia,2189,1780
1917,Europe,2870,2451
1917,North America,5746,2432
1917,Oceania,6025,2833
1917,South America,398,240
1917,NA,0,0
1918,Africa,694,510
1918,Asia,2204,1784
1918,Europe,2882,2457
1918,North America,5764,2465
1918,Oceania,6026,2865
1918,South America,408,247
1918,NA,0,0
1919,Africa,733,544
1919,Asia,2223,1788
1919,Europe,2902,2467
1919,North America,5800,2499
1919,Oceania,6046,2908
1919,South America,433,257
1919,NA,0,0
1920,Africa,770,575
1920,Asia,2230,1790
1920,Europe,2951,2496
1920,North America,5826,2537
1920,Oceania,6041,2950
1920,South America,457,267
1920,NA,0,0
1921,Africa,786,587
1921,Asia,2240,1798
1921,Europe,2971,2512
1921,North America,5871,2584
1921,Oceania,6054,2987
1921,South America,472,272
1921,NA,0,0
1922,Africa,805,600
1922,Asia,2254,1806
1922,Europe,3130,2668
1922,North America,6004,2657
1922,Oceania,6084,3020
1922,South America,485,277
1922,NA,0,0
1923,Africa,853,646
1923,Asia,2266,1814
1923,Europe,3160,2690
1923,North America,6123,2730
1923,Oceania,6131,3052
1923,South America,495,284
1923,NA,0,0
1924,Africa,899,689
1924,Asia,2274,1820
1924,Europe,3193,2718
1924,North America,6224,2802
1924,Oceania,6167,3091
1924,South America,501,287
1924,NA,0,0
1925,Africa,941,727
1925,Asia,2283,1825
1925,Europe,3247,2757
1925,North America,6314,2856
1925,Oceania,6204,3143
1925,South America,504,288
1925,NA,0,0
1926,Africa,972,755
1926,Asia,2297,1833
1926,Europe,3271,2775
1926,North America,6458,2938
1926,Oceania,6252,3192
1926,South America,515,295
1926,NA,0,0
1927,Africa,1004,785
1927,Asia,2354,1884
1927,Europe,3283,2783
1927,North America,6549,2991
1927,Oceania,6281,3231
1927,South America,518,298
1927,NA,0,0
1928,Africa,1028,809
1928,Asia,2382,1899
1928,Europe,3292,2786
1928,North America,6615,3043
1928,Oceania,6336,3266
1928,South America,523,302
1928,NA,0,0
1929,Africa,1058,838
1929,Asia,2418,1924
1929,Europe,3301,2796
1929,North America,6678,3092
1929,Oceania,6420,3313
1929,South America,530,307
1929,NA,0,0
1930,Africa,1087,866
1930,Asia,2455,1952
1930,Europe,3343,2828
1930,North America,6798,3172
1930,Oceania,6481,3339
1930,South America,538,312
1930,NA,0,0
1931,Africa,1104,883
1931,Asia,2510,1996
1931,Europe,5974,5295
1931,North America,6889,3245
1931,Oceania,6498,3359
1931,South America,553,327
1931,NA,0,0
1932,Africa,1136,914
1932,Asia,2535,2013
1932,Europe,5992,5302
1932,North America,6952,3287
1932,Oceania,6528,3380
1932,South America,583,350
1932,NA,0,0
1933,Africa,1154,931
1933,Asia,2569,2040
1933,Europe,5995,5304
1933,North America,6978,3319
1933,Oceania,6574,3398
1933,South America,629,389
1933,NA,0,0
1934,Africa,1166,941
1934,Asia,2594,2055
1934,Europe,6016,5321
1934,North America,7024,3345
1934,Oceania,6594,3420
1934,South America,689,435
1934,NA,0,0
1935,Africa,1178,952
1935,Asia,2606,2065
1935,Europe,6072,5366
1935,North America,7112,3392
1935,Oceania,6613,3440
1935,South America,731,460
1935,NA,0,0
1936,Africa,1187,961
1936,Asia,3139,2340
1936,Europe,6576,5656
1936,North America,7204,3441
1936,Oceania,6691,3470
1936,South America,861,537
1936,NA,0,0
1937,Africa,1194,968
1937,Asia,3186,2368
1937,Europe,6626,5685
1937,North America,7336,3532
1937,Oceania,6715,3503
1937,South America,994,612
1937,NA,0,0
1938,Africa,1204,975
1938,Asia,3248,2400
1938,Europe,6672,5715
1938,North America,7527,3641
1938,Oceania,6785,3542
1938,South America,1040,638
1938,NA,0,0
1939,Africa,1197,975
1939,Asia,3302,2438
1939,Europe,6708,5735
1939,North America,7718,3729
1939,Oceania,6802,3554
1939,South America,1166,723
1939,NA,0,0
1940,Africa,1215,983
1940,Asia,3334,2453
1940,Europe,6747,5766
1940,North America,8283,3948
1940,Oceania,6842,3576
1940,South America,1285,806
1940,NA,0,0
1941,Africa,1220,986
1941,Asia,3363,2462
1941,Europe,7535,6373
1941,North America,8798,4137
1941,Oceania,6863,3597
1941,South America,1541,931
1941,NA,0,0
1942,Africa,1220,986
1942,Asia,3393,2472
1942,Europe,7579,6393
1942,North America,9028,4260
1942,Oceania,6891,3611
1942,South America,1648,994
1942,NA,0,0
1943,Africa,1224,986
1943,Asia,3415,2481
1943,Europe,7618,6403
1943,North America,9201,4373
1943,Oceania,6901,3616
1943,South America,1802,1088
1943,NA,0,0
1944,Africa,1226,987
1944,Asia,3438,2492
1944,Europe,7675,6433
1944,North America,9426,4476
1944,Oceania,6894,3614
1944,South America,1890,1128
1944,NA,0,0
1945,Africa,1263,1000
1945,Asia,3452,2497
1945,Europe,8505,7103
1945,North America,9627,4538
1945,Oceania,6904,3631
1945,South America,1953,1159
1945,NA,0,0
1946,Africa,1265,1001
1946,Asia,3473,2503
1946,Europe,8726,7285
1946,North America,9750,4638
1946,Oceania,6921,3629
1946,South America,2001,1188
1946,NA,0,0
1947,Africa,1269,1002
1947,Asia,3487,2513
1947,Europe,8972,7496
1947,North America,9874,4718
1947,Oceania,6944,3629
1947,South America,2046,1214
1947,NA,0,0
1948,Africa,1270,1002
1948,Asia,3532,2513
1948,Europe,9145,7624
1948,North America,12286,5248
1948,Oceania,6962,3632
1948,South America,2080,1235
1948,NA,0,0
1949,Africa,1273,1002
1949,Asia,3586,2520
1949,Europe,9384,7766
1949,North America,12955,5402
1949,Oceania,7011,3632
1949,South America,2109,1249
1949,NA,0,0
1950,Africa,1317,1017
1950,Asia,3612,2522
1950,Europe,9515,7909
1950,North America,13202,5509
1950,Oceania,7020,3646
1950,South America,2187,1298
1950,NA,0,0
1951,Africa,1341,1025
1951,Asia,4359,2774
1951,Europe,10326,8634
1951,North America,13527,5666
1951,Oceania,7022,3650
1951,South America,2204,1313
1951,NA,0,0
1952,Africa,1357,1026
1952,Asia,4677,2891
1952,Europe,10454,8728
1952,North America,12792,5764
1952,Oceania,7006,3641
1952,South America,2234,1329
1952,NA,0,0
1953,Africa,1362,1028
1953,Asia,4855,2981
1953,Europe,10564,8805
1953,North America,12907,5866
1953,Oceania,7045,3650
1953,South America,2256,1344
1953,NA,0,0
1954,Africa,1367,1027
1954,Asia,5039,3085
1954,Europe,10603,8840
1954,North America,13039,5947
1954,Oceania,7057,3646
1954,South America,2299,1369
1954,NA,0,0
1955,Africa,1372,1030
1955,Asia,5332,3247
1955,Europe,10730,8896
1955,North America,13239,6052
1955,Oceania,7026,3613
1955,South America,2330,1395
1955,NA,0,0
1956,Africa,1380,1031
1956,Asia,5670,3551
1956,Europe,11122,9163
1956,North America,13508,6158
1956,Oceania,7052,3634
1956,South America,2370,1426
1956,NA,0,0
1957,Africa,1411,1035
1957,Asia,6184,3903
1957,Europe,11285,9210
1957,North America,13648,6247
1957,Oceania,7098,3648
1957,South America,2438,1475
1957,NA,0,0
1958,Africa,1412,1036
1958,Asia,6402,4098
1958,Europe,11365,9265
1958,North America,13694,6291
1958,Oceania,7336,3724
1958,South America,2501,1522
1958,NA,0,0
1959,Africa,1418,1037
1959,Asia,7081,4655
1959,Europe,12092,9689
1959,North America,13779,6355
1959,Oceania,7626,3802
1959,South America,2584,1561
1959,NA,0,0
1960,Africa,1422,1039
1960,Asia,7236,4754
1960,Europe,12220,9783
1960,North America,13827,6416
1960,Oceania,7712,3832
1960,South America,2643,1591
1960,NA,0,0
1961,Africa,1454,1048
1961,Asia,7488,4831
1961,Europe,12528,10025
1961,North America,14450,6672
1961,Oceania,7807,3864
1961,South America,2753,1643
1961,NA,0,0
1962,Africa,1463,1048
1962,Asia,7535,4857
1962,Europe,12594,10055
1962,North America,14718,6806
1962,Oceania,7928,3900
1962,South America,3312,1680
1962,NA,0,0
1963,Africa,1468,1048
1963,Asia,7558,4863
1963,Europe,12671,10114
1963,North America,14629,6924
1963,Oceania,7973,3917
1963,South America,3587,1703
1963,NA,0,0
1964,Africa,1470,1048
1964,Asia,7553,4860
1964,Europe,12728,10158
1964,North America,14732,7002
1964,Oceania,8026,3947
1964,South America,3871,1726
1964,NA,0,0
1965,Africa,1472,1048
1965,Asia,7550,4875
1965,Europe,13004,10364
1965,North America,14926,7090
1965,Oceania,8140,3993
1965,South America,4017,1764
1965,NA,0,0
1966,Africa,1473,1048
1966,Asia,7636,4895
1966,Europe,13153,10446
1966,North America,15024,7154
1966,Oceania,8255,4016
1966,South America,4096,1820
1966,NA,0,0
1967,Africa,1473,1048
1967,Asia,7610,4892
1967,Europe,13202,10493
1967,North America,15040,7194
1967,Oceania,8316,4025
1967,South America,4212,1891
1967,NA,0,0
1968,Africa,1725,1048
1968,Asia,7422,4807
1968,Europe,13249,10556
1968,North America,15036,7207
1968,Oceania,8551,4097
1968,South America,4280,1909
1968,NA,0,0
1969,Africa,1725,1048
1969,Asia,7105,4567
1969,Europe,13516,10787
1969,North America,15246,7285
1969,Oceania,8742,4166
1969,South America,4401,1942
1969,NA,0,0
1970,Africa,1722,1046
1970,Asia,6839,4435
1970,Europe,13618,10838
1970,North America,15343,7332
1970,Oceania,8811,4176
1970,South America,4571,1978
1970,NA,0,0
1971,Africa,1729,1044
1971,Asia,4609,3211
1971,Europe,13710,10907
1971,North America,15307,7360
1971,Oceania,8834,4179
1971,South America,4693,2006
1971,NA,0,0
1972,Africa,1732,1041
1972,Asia,4660,3245
1972,Europe,13781,10977
1972,North America,15391,7396
1972,Oceania,8906,4203
1972,South America,4737,1988
1972,NA,0,0
1973,Africa,1858,1040
1973,Asia,4742,3258
1973,Europe,13877,11022
1973,North America,15606,7420
1973,Oceania,8937,4197
1973,South America,4905,1972
1973,NA,0,0
1974,Africa,1863,1036
1974,Asia,4769,3276
1974,Europe,13916,11046
1974,North America,15693,7458
1974,Oceania,8834,4175
1974,South America,4961,1974
1974,NA,0,0
1975,Africa,1860,1030
1975,Asia,4798,3285
1975,Europe,13939,11061
1975,North America,15707,7483
1975,Oceania,8688,4151
1975,South America,5022,1988
1975,NA,0,0
1976,Africa,1850,1019
1976,Asia,4814,3288
1976,Europe,13968,11080
1976,North America,15587,7459
1976,Oceania,8512,4115
1976,South America,5141,1987
1976,NA,0,0
1977,Africa,1849,1010
1977,Asia,4858,3295
1977,Europe,13991,11105
1977,North America,15558,7456
1977,Oceania,8368,4085
1977,South America,5165,1973
1977,NA,0,0
1978,Africa,1845,997
1978,Asia,4880,3307
1978,Europe,14056,11126
1978,North America,15766,7645
1978,Oceania,8261,4050
1978,South America,5186,1967
1978,NA,0,0
1979,Africa,1825,984
1979,Asia,4959,3355
1979,Europe,14072,11139
1979,North America,15905,7762
1979,Oceania,8147,4023
1979,South America,5176,1973
1979,NA,0,0
1980,Africa,1821,973
1980,Asia,4970,3360
1980,Europe,14103,11149
1980,North America,16288,8013
1980,Oceania,8088,4010
1980,South America,10785,4248
1980,NA,0,0
1981,Africa,1779,933
1981,Asia,4979,3363
1981,Europe,14190,11221
1981,North America,16385,8066
1981,Oceania,8025,4002
1981,South America,10883,4300
1981,NA,0,0
1982,Africa,1793,924
1982,Asia,5005,3365
1982,Europe,14204,11236
1982,North America,16567,8102
1982,Oceania,7977,3992
1982,South America,11086,4367
1982,NA,0,0
1983,Africa,1784,917
1983,Asia,5044,3367
1983,Europe,14211,11242
1983,North America,16515,8096
1983,Oceania,7947,3984
1983,South America,11221,4452
1983,NA,0,0
1984,Africa,1779,912
1984,Asia,5040,3367
1984,Europe,14232,11248
1984,North America,16440,8084
1984,Oceania,7906,3977
1984,South America,9984,4266
1984,NA,0,0
1985,Africa,1766,902
1985,Asia,5029,3366
1985,Europe,14239,11256
1985,North America,16309,8083
1985,Oceania,7869,3963
1985,South America,10045,4297
1985,NA,0,0
1986,Africa,1714,888
1986,Asia,5019,3361
1986,Europe,14297,11276
1986,North America,16141,8051
1986,Oceania,7848,3947
1986,South America,10081,4353
1986,NA,0,0
1987,Africa,1486,866
1987,Asia,5017,3362
1987,Europe,14308,11268
1987,North America,16084,8041
1987,Oceania,7808,3940
1987,South America,9991,4344
1987,NA,0,0
1988,Africa,1470,851
1988,Asia,4989,3354
1988,Europe,14330,11279
1988,North America,15915,8010
1988,Oceania,7780,3918
1988,South America,10045,4338
1988,NA,0,0
1989,Africa,1441,833
1989,Asia,4958,3335
1989,Europe,14356,11293
1989,North America,15767,7986
1989,Oceania,7768,3906
1989,South America,10008,4309
1989,NA,0,0
1990,Africa,1383,788
1990,Asia,4992,3328
1990,Europe,14372,11301
1990,North America,15676,7981
1990,Oceania,7739,3889
1990,South America,9916,4307
1990,NA,0,0
1991,Africa,1323,747
1991,Asia,4953,3328
1991,Europe,14369,11312
1991,North America,15532,7949
1991,Oceania,7719,3870
1991,South America,9805,4305
1991,NA,0,0
1992,Africa,1275,708
1992,Asia,4602,3174
1992,Europe,14381,11313
1992,North America,15460,7936
1992,Oceania,7719,3870
1992,South America,9686,4304
1992,NA,0,0
1993,Africa,1238,681
1993,Asia,4472,3114
1993,Europe,14321,11291
1993,North America,15415,7922
1993,Oceania,7712,3847
1993,South America,9667,4304
1993,NA,0,0
1994,Africa,1220,664
1994,Asia,4463,3106
1994,Europe,14329,11256
1994,North America,15298,7852
1994,Oceania,7722,3815
1994,South America,9539,4298
1994,NA,0,0
1995,Africa,1212,648
1995,Asia,4438,3084
1995,Europe,14315,11218
1995,North America,15115,7777
1995,Oceania,7684,3776
1995,South America,9227,4287
1995,NA,0,0
1996,Africa,1203,639
1996,Asia,4405,3058
1996,Europe,14252,11171
1996,North America,15033,7711
1996,Oceania,7656,3737
1996,South America,9048,4234
1996,NA,0,0
1997,Africa,1179,617
1997,Asia,4360,3029
1997,Europe,14033,11003
1997,North America,14978,7644
1997,Oceania,7650,3692
1997,South America,8909,4214
1997,NA,0,0
1998,Africa,515,20
1998,Asia,4346,3015
1998,Europe,13978,10953
1998,North America,15355,7563
1998,Oceania,7642,3658
1998,South America,7756,3741
1998,NA,0,0
1999,Africa,510,16
1999,Asia,4304,3004
1999,Europe,13886,10901
1999,North America,15480,7502
1999,Oceania,7647,3627
1999,South America,7385,3645
1999,NA,0,0
2000,Africa,509,16
2000,Asia,4588,3002
2000,Europe,13832,10838
2000,North America,15707,7422
2000,Oceania,7908,3605
2000,South America,6624,3392
2000,NA,0,0
2001,Africa,511,16
2001,Asia,5167,2999
2001,Europe,13792,10781
2001,North America,15812,7329
